College Name,Reason,City,State,Rank,Wikipedia Page,Wikidata ID,Logo Source,Logo URL,Logo Path,Confidence
"Indian Institute Of Science Education & Research, Mohali",All Tiers Exhausted,,,,,,,,,
Indian Institute of Science Bangalore,All Tiers Exhausted,,,,,,,,,
"Indian Institute of Science, Bengaluru",All Tiers Exhausted,,,,,,,,,
"Indian Institute Of Technology, Kanpur",All Tiers Exhausted,,,,,,,,,
NIT Trichy - National Institute of Technology Tiruchirappalli,All Tiers Exhausted,,,,,,,,,
Indian Institute of Technology Guwahati,All Tiers Exhausted,,,,,,,,,
NIT Surathkal - National Institute of Technology Karnataka,All Tiers Exhausted,,,,,,,,,
"Anna University, Chennai",All Tiers Exhausted,,,,,,,,,
"Jadavpur University, Kolkata",All Tiers Exhausted,,,,,,,,,
"Indian Institute Of Technology, North Guwahati",All Tiers Exhausted,,,,,,,,,
University of Hyderabad,All Tiers Exhausted,,,,,,,,,
Calcutta University,All Tiers Exhausted,,,,,,,,,
"Amrita Vishwa Vidyapeetham, Coimbatore",All Tiers Exhausted,,,,,,,,,
"Jamia Millia Islamia,New Delhi",All Tiers Exhausted,,,,,,,,,
JMI New Delhi - Jamia Millia Islamia,All Tiers Exhausted,,,,,,,,,
"Indian Institute Of Technology (Banaras Hindu University), Varanasi",All Tiers Exhausted,,,,,,,,,
Manipal Academy of Higher Education-Manipal,All Tiers Exhausted,,,,,,,,,
Savitribai Phule Pune University,All Tiers Exhausted,,,,,,,,,
ICT Mumbai - Institute of Chemical Technology,All Tiers Exhausted,,,,,,,,,
"National Institute Of Technology, Rourkela-Rourkela",All Tiers Exhausted,,,,,,,,,
Homi Bhabha National Institute,All Tiers Exhausted,,,,,,,,,
Bharathiar University,All Tiers Exhausted,,,,,,,,,
"College Of Engineering, Pune",All Tiers Exhausted,,,,,,,,,
S.R.M. Institute of Science and Technology,All Tiers Exhausted,,,,,,,,,
Indian Institute of Science Education & Research Pune,All Tiers Exhausted,,,,,,,,,
Psg College Of Technology-Coimbatore,All Tiers Exhausted,,,,,,,,,
Siksha `O` Anusandhan,All Tiers Exhausted,,,,,,,,,
Indian Institute of Technology (Indian School of Mines),All Tiers Exhausted,,,,,,,,,
Indian Institute of Science Education & Research Kolkata,All Tiers Exhausted,,,,,,,,,
"Indian Institute Of Technology, Bhubaneswar",All Tiers Exhausted,,,,,,,,,
KIIT University - Kalinga Institute of Industrial Technology,All Tiers Exhausted,,,,,,,,,
"National Institute of Technology Karnataka, Surathkal",All Tiers Exhausted,,,,,,,,,
"National Institute Of Technology, Warangal",All Tiers Exhausted,,,,,,,,,
"Andhra University College of Engineering, Visakhapatnam",All Tiers Exhausted,,,,,,,,,
Thiagarajar College Of Engineering-Madurai,All Tiers Exhausted,,,,,,,,,
University of Madras,All Tiers Exhausted,,,,,,,,,
Amrita School Of Engineering,All Tiers Exhausted,,,,,,,,,
VNIT Nagpur - Visvesvaraya National Institute of Technology,All Tiers Exhausted,,,,,,,,,
"Chandigarh University, Chandigarh",All Tiers Exhausted,,,,,,,,,
Kalinga Institue Of Industrial Technology,All Tiers Exhausted,,,,,,,,,
"Panjab University, Chandigarh",All Tiers Exhausted,,,,,,,,,
Mysore University,All Tiers Exhausted,,,,,,,,,
DTU Delhi - Delhi Technological University,All Tiers Exhausted,,,,,,,,,
